PID,Isolate Id,Time from initialization,GC Event,Total size of objects before GC,Total size of objects after GC,Total memory allocated before GC,Total memory allocated after GC,Time in GC,Time in external callbacks,Marking info,Reason for GC trigger,Reason for GC
62598,0x102004600,7,Scavenge,2.1,2.1,37.0,37.0,0.5,0,,allocation failure,
62598,0x102004600,8,Scavenge,2.1,2.1,37.0,38.0,0.5,0,,allocation failure,
62598,0x102004600,39,Scavenge,3.9,3.5,41.0,41.0,0.5,0,,allocation failure,
62598,0x102004600,42,Scavenge,4.9,4.5,41.0,42.0,1.6,0,,allocation failure,
62598,0x102004600,45,Scavenge,5.5,5.5,42.0,43.0,2.2,0,,allocation failure,
62598,0x102004600,50,Scavenge,8.5,8.5,43.0,43.0,4.2,0,,allocation failure,
62598,0x102004600,56,Scavenge,9.4,9.4,43.0,47.0,5.8,0,,allocation failure,
62598,0x102004600,67,Scavenge,16.3,16.3,47.0,47.0,9.3,0,,allocation failure,
62598,0x102004600,79,Scavenge,17.3,17.3,47.0,55.0,11.6,0,,allocation failure,
62598,0x102004600,109,Scavenge,32.1,32.1,55.0,55.0,25.8,0,,allocation failure,
62598,0x102004600,140,Scavenge,42.6,42.3,65.0,80.0,25.8,0,,allocation failure,
62598,0x102004600,402,Mark-sweep,395.4,128.0,438.0,176.0,0.8,0,"+ 64.0 ms in 107 steps since start of marking, biggest step 1.2 ms",GC interrupt,GC in old space requested
62598,0x102004600,761,Mark-sweep,742.2,55.4,792.0,101.0,1.0,0,"+ 31.4 ms in 19 steps since start of marking, biggest step 4.8 ms",GC interrupt,GC in old space requested
62598,0x102004600,787,Scavenge,71.2,67.4,101.0,101.0,21.1,0,,allocation failure,
62598,0x102004600,1032,Mark-sweep,461.4,41.7,495.0,88.0,0.9,0,"+ 22.1 ms in 17 steps since start of marking, biggest step 3.8 ms",GC interrupt,GC in old space requested
62598,0x102004600,1061,Scavenge,57.5,55.3,88.0,88.0,24.1,0,,allocation failure,
62598,0x102004600,1256,Mark-sweep,406.5,24.7,437.0,70.0,0.9,0,"+ 13.6 ms in 15 steps since start of marking, biggest step 3.3 ms",GC interrupt,GC in old space requested
62598,0x102004600,1284,Scavenge,40.5,39.3,70.0,70.0,24.0,0,,allocation failure,
62598,0x102004600,1471,Mark-sweep,341.3,35.9,369.0,81.0,0.8,0,"+ 19.8 ms in 16 steps since start of marking, biggest step 3.9 ms",GC interrupt,GC in old space requested
62598,0x102004600,1700,Mark-sweep,283.5,131.0,326.0,178.0,0.7,0,"+ 72.4 ms in 105 steps since start of marking, biggest step 1.5 ms",GC interrupt,GC in old space requested
62598,0x102004600,2053,Mark-sweep,747.3,22.6,798.0,68.0,1.5,0,"+ 12.3 ms in 14 steps since start of marking, biggest step 2.8 ms",GC interrupt,GC in old space requested
62598,0x102004600,2086,Scavenge,38.3,37.2,68.0,68.0,28.3,0,,allocation failure,
